id,name,code,parent_id/id,type,user_type/id,reconcile
0,Chart of Account – HWF,0,,View,account.data_account_type_root_view,FALSE
1,Statement of Financial Position,1,0,View,account.data_account_type_root_view,FALSE
1000-00,Assets - สินทรัพย์,1000-00,1,View,account.data_account_type_asset_view,FALSE
1100-00,Current Assets - สินทรัพย์หมุนเวียน,1100-00,1000-00,View,account.data_account_type_asset_view,FALSE
1110-00,Cash and Cash equivalents - เงินสดและรายการเทียบเท่าเงินสด,1110-00,1100-00,View,account.data_account_type_asset_view,FALSE
1111-00,Petty Cash - เงินสด,1111-00,1110-00,Liquidity,account.data_account_type_cash,FALSE
1113-00,Bank – Saving Accounts - เงินฝากออมทรัพย์,1113-00,1110-00,View,account.data_account_type_asset_view,FALSE
1113-01,Bank – Saving Accounts – Kasikorn - เงินฝากออมทรัพย์ธนาคารกสิกรไทย,1113-01,1113-00,Liquidity,account.data_account_type_bank,FALSE
1120-00,Advance - เงินทดรองจ่าย,1120-00,1100-00,Regular,account.data_account_type_current_assets,FALSE
1120-01,Short term investment - เงินลงทุนระยะสั้น,1120-01,1100-00,Regular,account.data_account_type_current_assets,FALSE
1130-00,Trade and Other Receivables - ลูกหนี้การค้าและตั๋วเงินรับ,1130-00,1100-00,View,account.data_account_type_asset_view,FALSE
1130-01,Trade Accounts Receivable - ลูกหนี้การค้า,1130-01,1130-00,Receivable,account.data_account_type_receivable,TRUE
1130-02,Advance – BSHOS - เงินทดรองจ่าย-BSHOS,1130-02,1130-00,Regular,account.data_account_type_current_assets,FALSE
1130-03,Allowance for Doubtful Account - ค่าเผื่อหนี้สงสัยจะสูญ,1130-03,1130-00,Regular,account.data_account_type_current_assets,FALSE
1150-00,Other Current Assets - สินทรัพย์หมุนเวียนอื่น,1150-00,1100-00,View,account.data_account_type_asset_view,FALSE
1151-00,Prepaid Expenses - ค่าใช้จ่ายจ่ายล่วงหน้า,1151-00,1100-00,View,account.data_account_type_asset_view,FALSE
1151-04,Advance to Staff - ค่าใช้จ่ายจ่ายล่วงหน้า-อื่นๆ,1151-04,1151-00,Regular,account.data_account_type_current_assets,FALSE
1151-05,Advance / Prepaid (other donors) - ค่าใช้จ่ายจ่ายล่วงหน้า-ภาษีหัก,1151-05,1151-00,Regular,account.data_account_type_current_assets,FALSE
