id,project_categ_id,name
project_1,Health & Medical projects,[Mae Tao Clinic] Prosthetics supplies
project_2,Health & Medical projects,[Mae Tao Clinic] Acupuncture department supplies & equipments
project_3,Health & Medical projects,[Kathi Zeschg Clinic (PBLT)] Running cost
project_4,Health & Medical projects,[Rose Plantation] Project running cost
project_5,Health & Medical projects,[Rose Plantation : ANCP] Support 4 learning centres
project_6,Health & Medical projects,[Rose Plantation : ANCP] Implementing daycare center for maternal
project_7,Health & Medical projects,[Rose Plantation : ANCP] Conducting mobile health care units to distribute information
project_8,Health & Medical projects,[Rose Plantation : ANCP] Strengthening the health referral system
project_9,Health & Medical projects,[Rose Plantation : ANCP] Project staff salary
project_10,Health & Medical projects,[Rose Plantation : ANCP] M & E
project_11,Community & Income Generation Project,"[Sewing workshop] Machine, Equipment"
project_12,Community & Income Generation Project,[Sewing workshop] Furniture & Improvement
project_13,Community & Income Generation Project,[Sewing workshop] Supply
project_14,Community & Income Generation Project,[Sewing workshop] Operation costs
project_15,Community & Income Generation Project,[Sewing workshop] Staff salary
project_16,Community & Income Generation Project,[Sewing workshop] Staff Capacity building
project_17,Community & Income Generation Project,[Sanitation assistant] Toilet
project_18,Community & Income Generation Project,[Sanitation assistant] Drinking water
project_19,Community & Income Generation Project,[Emergency] Emergency
project_20,Food & Agriculture Project,[Central Kitchen] Equipment & Improvement
project_21,Food & Agriculture Project,[Central Kitchen] transportation
project_22,Food & Agriculture Project,[Central Kitchen] Rent & Utilities
project_23,Food & Agriculture Project,[Central Kitchen] Staff salaries & capacity building
project_24,Food & Agriculture Project,"[Central Kitchen] Cooking gas ,Sanitation, Water filter"
project_25,Food & Agriculture Project,[Central Kitchen] Food
project_26,Food & Agriculture Project,[Central Kitchen] Rice
project_27,Food & Agriculture Project,[Agriculture] Organic agriculture
project_28,Food & Agriculture Project,[Agriculture] Salaries
project_29,Project Management,[Utilities and Facilities] 
project_30,Project Management,[Project assistant] 
project_31,Project Management,"[Travels, Car, Flights and Lodging] "
project_32,Project Management,[Office supplies] 
project_33,Project Management,[Equipment furniture and machines] 
project_34,Project Management,[Communication and shipping] 
project_35,Project Management,[Public relations and information] 
project_36,Project Management,[Food and related costs] 
project_37,Project Management,[Events and conferences] 
