id,project_id,name,budget_alloc
project_line_1,[Mae Tao Clinic] Prosthetics supplies,Prosthetics supplies ,1058764
project_line_2,[Mae Tao Clinic] Acupuncture department supplies & equipments,Needles,121000
project_line_3,[Mae Tao Clinic] Acupuncture department supplies & equipments,Examination/Protection,21600
project_line_4,[Mae Tao Clinic] Acupuncture department supplies & equipments,Cleaning solution,11520
project_line_5,[Mae Tao Clinic] Acupuncture department supplies & equipments,Equipment for treatment,16120
project_line_6,[Mae Tao Clinic] Acupuncture department supplies & equipments,Clinic equipment,19000
project_line_7,[Kathi Zeschg Clinic (PBLT)] Running cost,Personal-Stipend for clinic In charge,36000
project_line_8,[Kathi Zeschg Clinic (PBLT)] Running cost,Personal-Stipend for second In charge,14400
project_line_9,[Kathi Zeschg Clinic (PBLT)] Running cost,Personal-Stipend for clinic staff,72000
project_line_10,[Kathi Zeschg Clinic (PBLT)] Running cost,Medical Supplies-Medical and Medicine supplies,120000
project_line_11,[Kathi Zeschg Clinic (PBLT)] Running cost,Training-V.H.W Training,20000
project_line_12,[Kathi Zeschg Clinic (PBLT)] Running cost,Food-Food for patient,18000
project_line_13,[Kathi Zeschg Clinic (PBLT)] Running cost,Food-Food for staff,10200
project_line_14,[Kathi Zeschg Clinic (PBLT)] Running cost,Logistic / Administration-Sanitation for Clinic,6000
project_line_15,[Kathi Zeschg Clinic (PBLT)] Running cost,Logistic / Administration-Communication,1200
project_line_16,[Kathi Zeschg Clinic (PBLT)] Running cost,Logistic / Administration-Supplies Transport,6000
project_line_17,[Kathi Zeschg Clinic (PBLT)] Running cost,Logistic / Administration-Stationary,3000
project_line_18,[Kathi Zeschg Clinic (PBLT)] Running cost,Referral-Referral patient,18000
project_line_19,[Rose Plantation] Project running cost,Project running cost ,718750
project_line_20,[Rose Plantation : ANCP] Support 4 learning centres,Honorarium-Teacher coordinator,108000
project_line_21,[Rose Plantation : ANCP] Support 4 learning centres,Honorarium-Thai teachers,300000
project_line_22,[Rose Plantation : ANCP] Support 4 learning centres,Honorarium-Burmese teachers,134388
project_line_23,[Rose Plantation : ANCP] Support 4 learning centres,School materials/student kits,119000
project_line_24,[Rose Plantation : ANCP] Support 4 learning centres,School equipment and supplies,29700
project_line_25,[Rose Plantation : ANCP] Support 4 learning centres,Nutritions,30000
project_line_26,[Rose Plantation : ANCP] Support 4 learning centres,Snacks,30000
project_line_27,[Rose Plantation : ANCP] Support 4 learning centres,Transportation,29592
project_line_28,[Rose Plantation : ANCP] Implementing daycare center for maternal,Care-takers,213121.381343284
project_line_29,[Rose Plantation : ANCP] Implementing daycare center for maternal,Transportations,36000
project_line_30,[Rose Plantation : ANCP] Implementing daycare center for maternal,Materials for children and mothers,118400
project_line_31,[Rose Plantation : ANCP] Implementing daycare center for maternal,Nutrition foods,71040.4604477612
project_line_32,[Rose Plantation : ANCP] Conducting mobile health care units to distribute information,Drug and first aid kits,35520.2302238806
project_line_33,[Rose Plantation : ANCP] Conducting mobile health care units to distribute information,Allowance for migrant volunteers ,108000
project_line_34,[Rose Plantation : ANCP] Conducting mobile health care units to distribute information,Transportation for community outreach workers,36000
project_line_35,[Rose Plantation : ANCP] Conducting mobile health care units to distribute information,Materials for training: Awareness raising on occupational health care,5000
project_line_36,[Rose Plantation : ANCP] Strengthening the health referral system,Community Health Committee Meeting in 2 project areas,15000
project_line_37,[Rose Plantation : ANCP] Strengthening the health referral system,Transportation,8880.0575559702
project_line_38,[Rose Plantation : ANCP] Strengthening the health referral system,Break and Lunch,12000
project_line_39,[Rose Plantation : ANCP] Strengthening the health referral system,Transportation for referral of patients in serious cases,3000
project_line_40,[Rose Plantation : ANCP] Project staff salary,Project coordinator,156000
project_line_41,[Rose Plantation : ANCP] Project staff salary,Project staff,168000
project_line_42,[Rose Plantation : ANCP] Project staff salary,Field volunteer,60000
project_line_43,[Rose Plantation : ANCP] Project staff salary,Accountant/Finance,36000
project_line_44,[Rose Plantation : ANCP] Project staff salary,Communication,12795
project_line_45,[Rose Plantation : ANCP] M & E,Evaluator ,135000
project_line_46,[Rose Plantation : ANCP] M & E,Transportation and M&E tools,9265
project_line_47,"[Sewing workshop] Machine, Equipment",Sewing Machine-Interlock sewing machine,0
project_line_48,"[Sewing workshop] Machine, Equipment",Sewing Machine-Overlock sewing machine,0
project_line_49,"[Sewing workshop] Machine, Equipment",Sewing Machine-Heavy duty sewing machine,0
project_line_50,"[Sewing workshop] Machine, Equipment",Sewing Machine-Single industrial sewing machine ,0
project_line_51,"[Sewing workshop] Machine, Equipment",Sewing Machine-Zigzag Sewing Machine,0
project_line_52,"[Sewing workshop] Machine, Equipment",Embroidery machine-Embroidery machine ( 1 heads),0
project_line_53,"[Sewing workshop] Machine, Equipment",Embroidery machine-Embroidery machine ( 2 heads),0
project_line_54,"[Sewing workshop] Machine, Equipment",Ironing-Iron,0
project_line_55,"[Sewing workshop] Machine, Equipment",Ironing-steam-ironing machine,0
project_line_56,"[Sewing workshop] Machine, Equipment",Small assistanct machine-Scissors,0
project_line_57,"[Sewing workshop] Machine, Equipment",Small assistanct machine-Small Scissors,3000
project_line_58,"[Sewing workshop] Machine, Equipment",Equipment-Fan,2000
project_line_59,"[Sewing workshop] Machine, Equipment",Equipment-Lamps,10000
project_line_60,"[Sewing workshop] Machine, Equipment","Other Machine, Equipment-others",0
project_line_61,[Sewing workshop] Furniture & Improvement,Funiture-Iron shelf,0
project_line_62,[Sewing workshop] Furniture & Improvement,Funiture-Cutting table,0
project_line_63,[Sewing workshop] Furniture & Improvement,Funiture-Equipment & supplies Shelf,0
project_line_64,[Sewing workshop] Furniture & Improvement,Funiture-Cabinet with locker,0
project_line_65,[Sewing workshop] Furniture & Improvement,Funiture-Iron shelf for supplies,50000
project_line_66,[Sewing workshop] Furniture & Improvement,Funiture-Chairs,22500
project_line_67,[Sewing workshop] Furniture & Improvement,Accessories-Finished product storage,6000
project_line_68,[Sewing workshop] Furniture & Improvement,Accessories-Desk lamps,8100
project_line_69,[Sewing workshop] Furniture & Improvement,Improvement matterials-Improvement matterials,0
project_line_70,[Sewing workshop] Furniture & Improvement,Other Furniture & Improvement-Others,0
project_line_71,[Sewing workshop] Supply,"Student Uniform-Material for shirts, Meter",83925
project_line_72,[Sewing workshop] Supply,"Student Uniform-Materiel for skirt and pants, Meter",111020
project_line_73,[Sewing workshop] Supply,"Student Uniform-Thread white, dozen",3600
project_line_74,[Sewing workshop] Supply,"Student Uniform-Thread blue, dozen",3400
project_line_75,[Sewing workshop] Supply,Student Uniform-Buttons (packs),4500
project_line_76,[Sewing workshop] Supply,"Student Uniform-Hooks for fastening, packs",1375
project_line_77,[Sewing workshop] Supply,"Student Uniform-Zipper, dozen",5580
project_line_78,[Sewing workshop] Supply,"Student Uniform-Material for pants pockets, Meter",14950
project_line_79,[Sewing workshop] Supply,Teacher Uniform-Materials,17600
project_line_80,[Sewing workshop] Supply,Staff Uniform-Staff uniform materials,10000
project_line_81,[Sewing workshop] Supply,Staff Uniform-Ray of Youth materials,5000
project_line_82,[Sewing workshop] Supply,Staff Uniform-Out door jacket,6000
project_line_83,[Sewing workshop] Supply,Other-HWF Brand logo,20000
