id,project_id,name,account_id,budget_line/obi_id,budget_line/budget_alloc
project_line_hwf_1,[Migrant School - ศูนย์การเรียนเด็กข้ามชาติ] Rays of Hope School - ศูนย์การเรียน,Ah Yone Thit - ศูนย์การเรียน AYT,5121-01,HoG I,440090
project_line_hwf_2,[Migrant School - ศูนย์การเรียนเด็กข้ามชาติ] Rays of Hope School - ศูนย์การเรียน,Ah Yone Thit (other donor)- ศูนย์การเรียน AYT (other donor),5121-02,,
project_line_hwf_3,[Migrant School - ศูนย์การเรียนเด็กข้ามชาติ] Rays of Hope School - ศูนย์การเรียน,BHSOH - ศูนย์การเรียน BHSOH,5121-03,,
project_line_hwf_4,[Migrant School - ศูนย์การเรียนเด็กข้ามชาติ] Rays of Hope School - ศูนย์การเรียน,BHSOH (other donors) - ศูนย์การเรียน BHSOH (other donors),5121-04,,
project_line_hwf_5,[Migrant School - ศูนย์การเรียนเด็กข้ามชาติ] Rays of Hope School - ศูนย์การเรียน,KM 42 - ศูนย์การเรียน KM 42,5121-05,HoG I,770970
,,,,CB,256990
project_line_hwf_7,[Migrant School - ศูนย์การเรียนเด็กข้ามชาติ] Rays of Hope School - ศูนย์การเรียน,KM 42 (other donors) - ศูนย์การเรียน KM 42 (other donors),5121-06,,
project_line_hwf_8,[Migrant School - ศูนย์การเรียนเด็กข้ามชาติ] Rays of Hope School - ศูนย์การเรียน,New Day - ศูนย์การเรียน ND,5121-07,HoG I,928677
project_line_hwf_9,[Migrant School - ศูนย์การเรียนเด็กข้ามชาติ] Rays of Hope School - ศูนย์การเรียน,New Day (other donor)- ศูนย์การเรียน ND (other donor),5121-08,,
project_line_hwf_10,[Migrant School - ศูนย์การเรียนเด็กข้ามชาติ] Rays of Hope School - ศูนย์การเรียน,Paramii - ศูนย์การเรียน PRM,5121-09,HoG I,1474928
project_line_hwf_11,[Migrant School - ศูนย์การเรียนเด็กข้ามชาติ] Rays of Hope School - ศูนย์การเรียน,Paramii (other donor)- ศูนย์การเรียน PRM (other donor),5121-10,,
project_line_hwf_12,[Migrant School - ศูนย์การเรียนเด็กข้ามชาติ] Rays of Hope School - ศูนย์การเรียน,Ah Yon Oo - ศูนย์การเรียน AYO,5121-11,HoG I,417500
project_line_hwf_13,[Migrant School - ศูนย์การเรียนเด็กข้ามชาติ] Rays of Hope School - ศูนย์การเรียน,Ah Yon Oo (other donor)- ศูนย์การเรียน AYO (other donor),5121-12,,
project_line_hwf_14,[Migrant School - ศูนย์การเรียนเด็กข้ามชาติ] Rays of Hope School - ศูนย์การเรียน,Pa Yan Daw - ศูนย์การเรียน PYD,5121-13,HoG I,494500
project_line_hwf_15,[Migrant School - ศูนย์การเรียนเด็กข้ามชาติ] Rays of Hope School - ศูนย์การเรียน,Pa Yan Daw (other donor)- ศูนย์การเรียน PYD (other donor),5121-14,,
project_line_hwf_16,[Migrant School - ศูนย์การเรียนเด็กข้ามชาติ] Rays of Hope School - ศูนย์การเรียน,Naung Boh Deh - ศูนย์การเรียน NBD,5121-15,,
project_line_hwf_17,[Migrant School - ศูนย์การเรียนเด็กข้ามชาติ] Rays of Hope School - ศูนย์การเรียน,Naung Boh Deh (other donor)- ศูนย์การเรียน NBD (other donor),5121-16,HoG A,357326.5
project_line_hwf_18,[Migrant School - ศูนย์การเรียนเด็กข้ามชาติ] Stationery & Book - อุปกรณ์การเรียน หนังสือ,Buy Centrally - อุปการณ์การเรียน หนังสือ ซื้อส่วนกลาง,5122-01,Regione Suedtirol Trentino,800000
project_line_hwf_19,[Migrant School - ศูนย์การเรียนเด็กข้ามชาติ] Stationery & Book - อุปกรณ์การเรียน หนังสือ,Teaching material emergency - อุปกรณ์การเรียน หนังสือ สื่อ อุปกรณ์การสอน,5122-02,,
project_line_hwf_20,[Migrant School - ศูนย์การเรียนเด็กข้ามชาติ] Stationery & Book - อุปกรณ์การเรียน หนังสือ,Buy Centrally(other donors) - อุปการณ์การเรียน หนังสือ ซื้อส่วนกลาง (other donor),5122-03,,
project_line_hwf_21,[Migrant School - ศูนย์การเรียนเด็กข้ามชาติ] Scholarship - ทุนการศึกษา,Scholarship for Rays of Hope school student - ทุนการศึกษา Rays of Hope,5123-01,HoG I,20000
project_line_hwf_22,[Migrant School - ศูนย์การเรียนเด็กข้ามชาติ] Scholarship - ทุนการศึกษา,Transportation - ทุนการศึกษา ค่าเดินทาง,5123-02,,
project_line_hwf_23,[Migrant School - ศูนย์การเรียนเด็กข้ามชาติ] Meetings - ประชุม,Monthly headmaster - ประชุม / ประชุมผู้บริหารศูนย์ประจำเดือน,5124-01,HoG I,10000
project_line_hwf_24,[Migrant School - ศูนย์การเรียนเด็กข้ามชาติ] Meetings - ประชุม,Teacher seminar - ประชุม / สัมมนาครู,5124-02,HoG I,15000
project_line_hwf_25,[Migrant School - ศูนย์การเรียนเด็กข้ามชาติ] Meetings - ประชุม,Teacher study tour - ทัศนศึกษา ดูงาน,5124-03,HoG I,20000
project_line_hwf_26,[Migrant School - ศูนย์การเรียนเด็กข้ามชาติ] Meetings - ประชุม,Posten Orientation - ประชุม / แนะแนวเด็กเรียนจบ,5124-04,HoG I,20000
project_line_hwf_27,"[Migrant School - ศูนย์การเรียนเด็กข้ามชาติ] Training,Workshop,Course - อบรม อบรมเชิงปฏิบัติการ",Circus -  กายกรรม Circus,5125-01,HoG I,2000
project_line_hwf_28,"[Migrant School - ศูนย์การเรียนเด็กข้ามชาติ] Training,Workshop,Course - อบรม อบรมเชิงปฏิบัติการ",Summer courses - อบรมภาคฤดูร้อน,5125-02,HoG I,30000
project_line_hwf_29,"[Migrant School - ศูนย์การเรียนเด็กข้ามชาติ] Training,Workshop,Course - อบรม อบรมเชิงปฏิบัติการ",Computer courses - อบรม อบรมเชิงปฏิบัติการ / อบรมคอมพิวเตอร์,5125-03,HoG I,10000
project_line_hwf_30,"[Migrant School - ศูนย์การเรียนเด็กข้ามชาติ] Training,Workshop,Course - อบรม อบรมเชิงปฏิบัติการ",Student exchange - อบรม อบรมเชิงปฏิบัติ / นักเรียนแลกเปลี่ยน,5125-04,HoG I,5000
project_line_hwf_31,"[Migrant School - ศูนย์การเรียนเด็กข้ามชาติ] Training,Workshop,Course - อบรม อบรมเชิงปฏิบัติการ",Language course for teacher & student - อบรมเชิงปฏิบัติการ / อบรมภาษาครู นักเรียน,5125-05,HoG I,10000
project_line_hwf_32,"[Migrant School - ศูนย์การเรียนเด็กข้ามชาติ] Training,Workshop,Course - อบรม อบรมเชิงปฏิบัติการ",Caretaker (other donor) - อบรม อบรมเชิงปฏิบัติการ / ผู้ดูแลหอพัก (other donor),5125-06,,
project_line_hwf_33,[Migrant School - ศูนย์การเรียนเด็กข้ามชาติ] Vocational training - อบรมม อาชีพ,Cooking - อบรมทำอาหาร,5126-01,HoG I,10000
project_line_hwf_34,[Migrant School - ศูนย์การเรียนเด็กข้ามชาติ] Vocational training - อบรมม อาชีพ,Sewing - อบรมตัดเย็บ,5126-02,HoG I,10000
project_line_hwf_35,[Migrant School - ศูนย์การเรียนเด็กข้ามชาติ] Vocational training - อบรมม อาชีพ,Vocational training/Other interested course - อบรมด้านอาชีพ,5126-03,HoG I,20000
project_line_hwf_36,[Migrant School - ศูนย์การเรียนเด็กข้ามชาติ] Activity - กิจกรรม,Student fellowship day - กีฬา,5127-01,HoG I,30000
project_line_hwf_37,[Migrant School - ศูนย์การเรียนเด็กข้ามชาติ] Activity - กิจกรรม,"Events (Culture, Sports) - งาน",5127-02,HoG I,20000
project_line_hwf_38,[Migrant School - ศูนย์การเรียนเด็กข้ามชาติ] Activity - กิจกรรม,Activities with children (football/Swim)-กิจกรรมกับเด็ก ว่ายน้ำ ฟุตบอล,5127-03,HoG I,5000
project_line_hwf_39,"[Contribution to other project, training - สมทบ โครงการ อบรม] Contribution to other project, training - สมทบ โครงการ อบรม",Other - สมทบโครงการ อบรม / อื่นๆ,5131-02,,
project_line_hwf_40,"[Contribution to other project, training - สมทบ โครงการ อบรม] Networking - เครือข่าย",Gifts&small donations - สนับสนุนเครือข่าย บริจาค มอบของ,5132-01,HoG I,20000
project_line_hwf_41,[Migrant Dormitories - หอพัก] Ray of Hope Dormitories - หอพัก,Ah Yone Thit,5141-01,,
project_line_hwf_42,[Migrant Dormitories - หอพัก] Ray of Hope Dormitories - หอพัก,BHSOH - หอพัก BHSOH,5141-02,,
project_line_hwf_43,[Migrant Dormitories - หอพัก] Ray of Hope Dormitories - หอพัก,Pa Yan Daw - หอพัก PYD,5141-03,HoG I,20000
project_line_hwf_44,[Migrant Dormitories - หอพัก] Ray of Hope Dormitories - หอพัก,Naung Boh Deh - หอพัก NBD,5141-04,HoG I,10000
project_line_hwf_45,[Migrant Dormitories - หอพัก] Ray of Hope Dormitories - หอพัก,Paramii -หอพัก PRM,5141-05,HoG I,7500
project_line_hwf_46,[Migrant Dormitories - หอพัก] Ray of Hope Dormitories - หอพัก,Children Home - หอพัก ChildrenHome,5141-06,,
project_line_hwf_47,[Migrant Dormitories - หอพัก] Ray of Hope Dormitories - หอพัก,Naung Boh Deh(other donor) - หอพัก NBD (other donor),5141-07,HoG A,10500
project_line_hwf_48,[Migrant Dormitories - หอพัก] Migrant Dormitories - หอพัก,Mae La Dormitory - หอพัก / แม่หละ,5142-01,HoG I,60000
project_line_hwf_49,[Education Project assistant (Salary) - ค่าตอบแทน] Education Project assistant (Salary) - ค่าตอบแทน,Education Manager - ผู้จัดการ,5151-01,,
project_line_hwf_50,[Education Project assistant (Salary) - ค่าตอบแทน] Education Project assistant (Salary) - ค่าตอบแทน,Education manager assistant - ผู้ช่วยผู้จัดการ,5151-02,,
project_line_hwf_51,[Education Project assistant (Salary) - ค่าตอบแทน] Education Project assistant (Salary) - ค่าตอบแทน,Work permit - ใบอนุญาตจ้างงาน,5151-03,HoG I,130000
project_line_hwf_52,[Education Project assistant (Salary) - ค่าตอบแทน] Education Project assistant (Salary) - ค่าตอบแทน,Education staff - เจ้าหน้าที่,5151-04,HoG I,25000
project_line_hwf_53,[Building / Construction - อาคาร ก่อสร้าง ซ่อมแซม] General School Renovation ซ่อมแซม ต่อเติม ศูนย์การเรียน,School Renovation ซ่อมแซม ต่อเติม ศูนย์การเรียน,5161-01,HoG I,200000
project_line_hwf_54,[Building / Construction - อาคาร ก่อสร้าง ซ่อมแซม] General School Renovation ซ่อมแซม ต่อเติม ศูนย์การเรียน,School Renovation (Regione) ซ่อมแซม ต่อเติม ศูนย์การเรียน,5161-02,,
project_line_hwf_55,Appropriate Education Development - พัฒนาระบบการศึกษาที่เหมาะสม (กศน.),Study possible linking system - ศึกษาการเชื่อมโยงระบบการศึกษา,5170-01,,
project_line_hwf_56,Appropriate Education Development - พัฒนาระบบการศึกษาที่เหมาะสม (กศน.),Develop Model of Education - พัฒนารูปแบบการศึกษา,5170-02,,
project_line_hwf_57,Appropriate Education Development - พัฒนาระบบการศึกษาที่เหมาะสม (กศน.),Promoting collaborative partnership - สร้างความร่วมมือ,5170-03,,
project_line_hwf_58,Appropriate Education Development - พัฒนาระบบการศึกษาที่เหมาะสม (กศน.),Administrative cost - งบบริหารจัดการ,5170-04,,
project_line_hwf_59,[ACCESS - โครงการ Access] Salaries - ค่าตอบแทน,Education project cordinator,5181-01,SCI-ACESS,131400
