id,name,code,parent_id/id,type,user_type/id,reconcile
5000-00,Expenses - รายจ่าย,5000-00,,View,account.data_account_type_view,FALSE
5100-00,"Schools , Training & Dormitory Project",5100-00,5000-00,View,account.data_account_type_view,FALSE
5110-00,Special Area School,5110-00,5100-00,View,account.data_account_type_view,FALSE
5111-00,Special Area School,5111-00,5110-00,View,account.data_account_type_view,FALSE
5111-01,PBLT Primary,5111-01,5111-00,Regular,account.data_account_type_expense,FALSE
5111-02,Kaw Poe Kee Primary,5111-02,5111-00,Regular,account.data_account_type_expense,FALSE
5111-03,Kaw Poe Kee Nursery,5111-03,5111-00,Regular,account.data_account_type_expense,FALSE
5111-04,Hser Poe Hta,5111-04,5111-00,Regular,account.data_account_type_expense,FALSE
5112-00,Burma School - Ku Don village School,5112-00,5110-00,View,account.data_account_type_view,FALSE
5112-01,Salary: Director,5112-01,5112-00,Regular,account.data_account_type_expense,FALSE
5112-02,Salary: Head master,5112-02,5112-00,Regular,account.data_account_type_expense,FALSE
5112-03,Salary: Senior Teacher,5112-03,5112-00,Regular,account.data_account_type_expense,FALSE
5112-04,Salary: Junior Teacher,5112-04,5112-00,Regular,account.data_account_type_expense,FALSE
5112-05,Salary: Specific teacher,5112-05,5112-00,Regular,account.data_account_type_expense,FALSE
5112-06,Salary: Cook,5112-06,5112-00,Regular,account.data_account_type_expense,FALSE
5112-07,Salary: Guard / Dormitory,5112-07,5112-00,Regular,account.data_account_type_expense,FALSE
5112-08,Salary: Driver,5112-08,5112-00,Regular,account.data_account_type_expense,FALSE
5112-09,Salary: Other Staff,5112-09,5112-00,Regular,account.data_account_type_expense,FALSE
5112-10,Supplies & teaching resource: Stationery,5112-10,5112-00,Regular,account.data_account_type_expense,FALSE
5112-11,Supplies & teaching resource: Textbook / Exercise book,5112-11,5112-00,Regular,account.data_account_type_expense,FALSE
5112-12,Supplies & teaching resource: Craft / Art / Vocational training materials,5112-12,5112-00,Regular,account.data_account_type_expense,FALSE
5112-13,Supplies & teaching resource: Sport supplies,5112-13,5112-00,Regular,account.data_account_type_expense,FALSE
5112-14,Supplies & teaching resource: Books for library,5112-14,5112-00,Regular,account.data_account_type_expense,FALSE
5112-15,Supplies & teaching resource: Student uniform,5112-15,5112-00,Regular,account.data_account_type_expense,FALSE
5112-16,Supplies & teaching resource: Teacher uniform,5112-16,5112-00,Regular,account.data_account_type_expense,FALSE
5112-17,Supplies & teaching resource: Teacher supplies,5112-17,5112-00,Regular,account.data_account_type_expense,FALSE
5112-18,Supplies & teaching resource: Prize for outstanding student,5112-18,5112-00,Regular,account.data_account_type_expense,FALSE
5112-19,Supplies & teaching resource: Others,5112-19,5112-00,Regular,account.data_account_type_expense,FALSE
5112-20,Utilities: Sanitation,5112-20,5112-00,Regular,account.data_account_type_expense,FALSE
5112-21,Utilities: Electricity,5112-21,5112-00,Regular,account.data_account_type_expense,FALSE
5112-22,Utilities: Drinking water,5112-22,5112-00,Regular,account.data_account_type_expense,FALSE
5112-23,Utilities: Used water,5112-23,5112-00,Regular,account.data_account_type_expense,FALSE
5112-24,Utilities: Telephone fee,5112-24,5112-00,Regular,account.data_account_type_expense,FALSE
5112-25,Utilities: Internet fee,5112-25,5112-00,Regular,account.data_account_type_expense,FALSE
5112-26,Utilities: Others,5112-26,5112-00,Regular,account.data_account_type_expense,FALSE
5112-27,Facilities: House/ building / land Rent,5112-27,5112-00,Regular,account.data_account_type_expense,FALSE
5112-28,Facilities: Maintenance and school improvement,5112-28,5112-00,Regular,account.data_account_type_expense,FALSE
5112-29,Facilities: Construction,5112-29,5112-00,Regular,account.data_account_type_expense,FALSE
5112-30,Facilities: Security & Emergency,5112-30,5112-00,Regular,account.data_account_type_expense,FALSE
5112-31,Facilities: Others,5112-31,5112-00,Regular,account.data_account_type_expense,FALSE
5112-32,Equipment & Furniture: School / Class room/ library equipment,5112-32,5112-00,Regular,account.data_account_type_expense,FALSE
5112-33,Equipment & Furniture: School / Class room/ library furniture,5112-33,5112-00,Regular,account.data_account_type_expense,FALSE
5112-34,"Equipment & Furniture: Computer, Comunication & accessories",5112-34,5112-00,Regular,account.data_account_type_expense,FALSE
5112-35,Equipment & Furniture: Equipment for vocational training,5112-35,5112-00,Regular,account.data_account_type_expense,FALSE
5112-36,Equipment & Furniture: Sport equipment,5112-36,5112-00,Regular,account.data_account_type_expense,FALSE
5112-37,Equipment & Furniture: Musical instrument & Technical devices,5112-37,5112-00,Regular,account.data_account_type_expense,FALSE
5112-38,Equipment & Furniture: Kitchen & Eating equipment,5112-38,5112-00,Regular,account.data_account_type_expense,FALSE
5112-39,Equipment & Furniture: Others,5112-39,5112-00,Regular,account.data_account_type_expense,FALSE
